BINID,BINLAT,BINLOT,BINLOAD,OTID,BINOT-ID,OTLAT,OTLON,COMMENTS
106,38.2542714958049,21.7397779343651,756,106,1,38.2542714958049,21.7397779343651,
109,38.2541935240157,21.7407037604467,851,109,1,38.2541935240157,21.7407037604467,
112,38.2535374856103,21.7426960435992,991,112,1,38.2535374856103,21.7426960435992,
113,38.2534053112033,21.7429612687353,837,113,1,38.2534053112033,21.7429612687353,
113,38.2534053112033,21.7429612687353,820,113,2,38.2534053112033,21.7429612687353,
115,38.2533797989734,21.7434190438920,868,115,1,38.2533797989734,21.7434190438920,
115,38.2533797989734,21.7434190438920,1033,115,2,38.2533797989734,21.7434190438920,
117,38.2563695024851,21.7420537703283,1049,117,1,38.2563695024851,21.7420537703283,
117,38.2563695024851,21.7420537703283,753,117,2,38.2563695024851,21.7420537703283,
120,38.2556253455985,21.7423090937300,715,120,1,38.2556253455985,21.7423090937300,
121,38.2558827540006,21.7413308078499,970,121,1,38.2558827540006,21.7413308078499,
122,38.2560352532584,21.7407341620706,1000,122,1,38.2560352532584,21.7407341620706,
123,38.2560068178804,21.7398707523303,1019,123,1,38.2560068178804,21.7398707523303,
123,38.2560068178804,21.7398707523303,789,123,2,38.2560068178804,21.7398707523303,
125,38.2563490317245,21.7393002179782,987,125,1,38.2563490317245,21.7393002179782,
125,38.2563490317245,21.7393002179782,721,125,2,38.2563490317245,21.7393002179782,
127,38.2557300538998,21.7392554140140,1031,127,1,38.2557300538998,21.7392554140140,
128,38.2556195670689,21.7396054852369,854,128,1,38.2556195670689,21.7396054852369,
128,38.2556195670689,21.7396054852369,821,128,2,38.2556195670689,21.7396054852369,
130,38.2555784365171,21.7398452940916,1064,130,1,38.2555784365171,21.7398452940916,
132,38.2550716579559,21.7394953351510,890,132,1,38.2550716579559,21.7394953351510,
133,38.2552028157420,21.7391086818156,850,133,1,38.2552028157420,21.7391086818156,
133,38.2552028157420,21.7391086818156,878,133,2,38.2552028157420,21.7391086818156,
136,38.2555885992740,21.7388166188024,943,136,1,38.2555885992740,21.7388166188024,
137,38.2551942407842,21.7412769984159,740,137,1,38.2551942407842,21.7412769984159,
140,38.2550113524449,21.7419954904376,813,140,1,38.2550113524449,21.7419954904376,
143,38.2547182731241,21.7394985697482,719,143,1,38.2547182731241,21.7394985697482,
152,38.2546719086127,21.7450236039285,1033,152,1,38.2546719086127,21.7450236039285,
152,38.2546719086127,21.7450236039285,1052,152,2,38.2546719086127,21.7450236039285,
155,38.2539841072094,21.7436502877781,872,155,1,38.2539841072094,21.7436502877781,
157,38.2550535567300,21.7433483031460,782,157,1,38.2550535567300,21.7433483031460,
158,38.2547839676305,21.7429806551521,986,158,1,38.2547839676305,21.7429806551521,
159,38.2579175929521,21.7406215581472,849,159,1,38.2579175929521,21.7406215581472,
159,38.2579175929521,21.7406215581472,974,159,2,38.2579175929521,21.7406215581472,
161,38.2578265762438,21.7414765676194,775,161,1,38.2578265762438,21.7414765676194,
163,38.2573301548203,21.7427118323333,885,163,1,38.2573301548203,21.7427118323333,
163,38.2573301548203,21.7427118323333,1088,163,2,38.2573301548203,21.7427118323333,
167,38.2574790040507,21.7435780371486,715,167,1,38.2574790040507,21.7435780371486,
169,38.2572830255014,21.7438817496154,906,169,1,38.2572830255014,21.7438817496154,
171,38.2620658033339,21.7431044215070,884,171,1,38.2620658033339,21.7431044215070,
